xbrl_tag,accounting_standard,category,context_role,context_pattern,json_path,value_type,unit_ref,notes
tse-ed-t:TotalComprehensiveIncomeIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.comprehensive_income,int,JPY,priority 1
tse-ed-t:NetIncomePerShare,JP,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.eps,float,JPYPerShares,priority 1
tse-ed-t:BasicEarningsPerShareIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.eps,float,JPYPerShares,priority 1
tse-ed-t:DilutedNetIncomePerShare,JP,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:DilutedEarningsPerShareIFRS,IFRS,performance,current,Current{period}Duration_ConsolidatedMember_ResultMember,performance.current.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:NetSales,JP,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.net_sales,int,JPY,priority 1
tse-ed-t:OperatingRevenues,JP,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:NetSalesIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.net_sales,int,JPY,priority 1
tse-ed-t:RevenueIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:SalesIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.net_sales,int,JPY,priority 3 (alt)
tse-ed-t:OperatingIncome,JP,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.operating_income,int,JPY,priority 1
tse-ed-t:OperatingIncomeIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.operating_income,int,JPY,priority 1
tse-ed-t:OrdinaryIncome,JP,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.ordinary_income,int,JPY,priority 1
tse-ed-t:ProfitBeforeTaxIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.profit_before_tax,int,JPY,priority 1
tse-ed-t:ProfitIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.profit,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParent,JP,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.net_income,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParentIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.net_income,int,JPY,priority 1
tse-ed-t:ComprehensiveIncome,JP,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.comprehensive_income,int,JPY,priority 1
tse-ed-t:TotalComprehensiveIncomeIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.comprehensive_income,int,JPY,priority 1
tse-ed-t:NetIncomePerShare,JP,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.eps,float,JPYPerShares,priority 1
tse-ed-t:BasicEarningsPerShareIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.eps,float,JPYPerShares,priority 1
tse-ed-t:DilutedNetIncomePerShare,JP,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:DilutedEarningsPerShareIFRS,IFRS,performance,prior,Prior{period}Duration_ConsolidatedMember_ResultMember,performance.prior.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:ChangeInNetSales,JP,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.net_sales,float,Pure,priority 1
tse-ed-t:ChangeInOperatingRevenues,JP,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.net_sales,float,Pure,priority 2 (alt)
tse-ed-t:ChangeInNetSalesIFRS,IFRS,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.net_sales,float,Pure,priority 1
tse-ed-t:ChangeInRevenueIFRS,IFRS,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.net_sales,float,Pure,priority 2 (alt)
tse-ed-t:ChangeInSalesIFRS,IFRS,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.net_sales,float,Pure,priority 3 (alt)
tse-ed-t:ChangeInOperatingIncome,JP,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.operating_income,float,Pure,priority 1
tse-ed-t:ChangeInOperatingIncomeIFRS,IFRS,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.operating_income,float,Pure,priority 1
tse-ed-t:ChangeInOrdinaryIncome,JP,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.ordinary_income,float,Pure,priority 1
tse-ed-t:ChangeInProfitBeforeTaxIFRS,IFRS,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.profit_before_tax,float,Pure,priority 1
tse-ed-t:ChangeInProfitIFRS,IFRS,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.profit,float,Pure,priority 1
tse-ed-t:ChangeInProfitAttributableToOwnersOfParent,JP,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.net_income,float,Pure,priority 1
tse-ed-t:ChangeInProfitAttributableToOwnersOfParentIFRS,IFRS,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.net_income,float,Pure,priority 1
tse-ed-t:ChangeInComprehensiveIncome,JP,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.comprehensive_income,float,Pure,priority 1
tse-ed-t:ChangesInTotalComprehensiveIncomeIFRS,IFRS,performance,change_pct,Current{period}Duration_ConsolidatedMember_ResultMember,performance.change_pct.comprehensive_income,float,Pure,priority 1
tse-ed-t:NetSales,JP,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.net_sales,int,JPY,priority 1
tse-ed-t:OperatingRevenues,JP,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:NetSalesIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.net_sales,int,JPY,priority 1
tse-ed-t:RevenueIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:SalesIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.net_sales,int,JPY,priority 3 (alt)
tse-ed-t:OperatingIncome,JP,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.operating_income,int,JPY,priority 1
tse-ed-t:OperatingIncomeIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.operating_income,int,JPY,priority 1
tse-ed-t:OrdinaryIncome,JP,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.ordinary_income,int,JPY,priority 1
tse-ed-t:ProfitBeforeTaxIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.profit_before_tax,int,JPY,priority 1
tse-ed-t:ProfitIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.profit,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParent,JP,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.net_income,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParentIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.net_income,int,JPY,priority 1
tse-ed-t:ComprehensiveIncome,JP,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.comprehensive_income,int,JPY,priority 1
tse-ed-t:TotalComprehensiveIncomeIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.comprehensive_income,int,JPY,priority 1
tse-ed-t:NetIncomePerShare,JP,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.eps,float,JPYPerShares,priority 1
tse-ed-t:BasicEarningsPerShareIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.eps,float,JPYPerShares,priority 1
tse-ed-t:DilutedNetIncomePerShare,JP,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:DilutedEarningsPerShareIFRS,IFRS,performance,forecast,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:NetSales,JP,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.net_sales,int,JPY,priority 1
tse-ed-t:OperatingRevenues,JP,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:NetSalesIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.net_sales,int,JPY,priority 1
tse-ed-t:RevenueIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:SalesIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.net_sales,int,JPY,priority 3 (alt)
tse-ed-t:OperatingIncome,JP,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.operating_income,int,JPY,priority 1
tse-ed-t:OperatingIncomeIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.operating_income,int,JPY,priority 1
tse-ed-t:OrdinaryIncome,JP,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.ordinary_income,int,JPY,priority 1
tse-ed-t:ProfitBeforeTaxIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.profit_before_tax,int,JPY,priority 1
tse-ed-t:ProfitIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.profit,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParent,JP,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.net_income,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParentIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.net_income,int,JPY,priority 1
tse-ed-t:ComprehensiveIncome,JP,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.comprehensive_income,int,JPY,priority 1
tse-ed-t:TotalComprehensiveIncomeIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.comprehensive_income,int,JPY,priority 1
tse-ed-t:NetIncomePerShare,JP,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.eps,float,JPYPerShares,priority 1
tse-ed-t:BasicEarningsPerShareIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.eps,float,JPYPerShares,priority 1
tse-ed-t:DilutedNetIncomePerShare,JP,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:DilutedEarningsPerShareIFRS,IFRS,performance,forecast_lower,CurrentYearDuration_ConsolidatedMember_LowerMember,performance.forecast.lower.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:NetSales,JP,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.net_sales,int,JPY,priority 1
tse-ed-t:OperatingRevenues,JP,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:NetSalesIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.net_sales,int,JPY,priority 1
tse-ed-t:RevenueIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.net_sales,int,JPY,priority 2 (alt)
tse-ed-t:SalesIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.net_sales,int,JPY,priority 3 (alt)
tse-ed-t:OperatingIncome,JP,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.operating_income,int,JPY,priority 1
tse-ed-t:OperatingIncomeIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.operating_income,int,JPY,priority 1
tse-ed-t:OrdinaryIncome,JP,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.ordinary_income,int,JPY,priority 1
tse-ed-t:ProfitBeforeTaxIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.profit_before_tax,int,JPY,priority 1
tse-ed-t:ProfitIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.profit,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParent,JP,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.net_income,int,JPY,priority 1
tse-ed-t:ProfitAttributableToOwnersOfParentIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.net_income,int,JPY,priority 1
tse-ed-t:ComprehensiveIncome,JP,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.comprehensive_income,int,JPY,priority 1
tse-ed-t:TotalComprehensiveIncomeIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.comprehensive_income,int,JPY,priority 1
tse-ed-t:NetIncomePerShare,JP,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.eps,float,JPYPerShares,priority 1
tse-ed-t:BasicEarningsPerShareIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.eps,float,JPYPerShares,priority 1
tse-ed-t:DilutedNetIncomePerShare,JP,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:DilutedEarningsPerShareIFRS,IFRS,performance,forecast_upper,CurrentYearDuration_ConsolidatedMember_UpperMember,performance.forecast.upper.eps_diluted,float,JPYPerShares,priority 1
tse-ed-t:ChangeInNetSales,JP,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.net_sales,float,Pure,priority 1
tse-ed-t:ChangeInOperatingRevenues,JP,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.net_sales,float,Pure,priority 2 (alt)
tse-ed-t:ChangeInNetSalesIFRS,IFRS,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.net_sales,float,Pure,priority 1
tse-ed-t:ChangeInRevenueIFRS,IFRS,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.net_sales,float,Pure,priority 2 (alt)
tse-ed-t:ChangeInSalesIFRS,IFRS,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.net_sales,float,Pure,priority 3 (alt)
tse-ed-t:ChangeInOperatingIncome,JP,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.operating_income,float,Pure,priority 1
tse-ed-t:ChangeInOperatingIncomeIFRS,IFRS,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.operating_income,float,Pure,priority 1
tse-ed-t:ChangeInOrdinaryIncome,JP,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.ordinary_income,float,Pure,priority 1
tse-ed-t:ChangeInProfitBeforeTaxIFRS,IFRS,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.profit_before_tax,float,Pure,priority 1
tse-ed-t:ChangeInProfitIFRS,IFRS,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.profit,float,Pure,priority 1
tse-ed-t:ChangeInProfitAttributableToOwnersOfParent,JP,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.net_income,float,Pure,priority 1
tse-ed-t:ChangeInProfitAttributableToOwnersOfParentIFRS,IFRS,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.net_income,float,Pure,priority 1
tse-ed-t:ChangeInComprehensiveIncome,JP,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.comprehensive_income,float,Pure,priority 1
tse-ed-t:ChangesInTotalComprehensiveIncomeIFRS,IFRS,performance,forecast_change_pct,CurrentYearDuration_ConsolidatedMember_ForecastMember,performance.forecast_change_pct.comprehensive_income,float,Pure,priority 1
tse-ed-t:TotalAssets,JP,balance_sheet,current,Current{period}Instant_ConsolidatedMember_ResultMember,balance_sheet.current.total_assets,int,JPY,
tse-ed-t:TotalAssetsIFRS,IFRS,balance_sheet,current,Current{period}Instant_ConsolidatedMember_ResultMember,balance_sheet.current.total_assets,int,JPY,
tse-ed-t:TotalAssets,JP,balance_sheet,prior_year_end,PriorYearInstant_ConsolidatedMember_ResultMember,balance_sheet.prior_year_end.total_assets,int,JPY,
tse-ed-t:TotalAssetsIFRS,IFRS,balance_sheet,prior_year_end,PriorYearInstant_ConsolidatedMember_ResultMember,balance_sheet.prior_year_end.total_assets,int,JPY,
tse-ed-t:NetAssets,JP,balance_sheet,current,Current{period}Instant_ConsolidatedMember_ResultMember,balance_sheet.current.net_assets,int,JPY,
tse-ed-t:TotalEquityIFRS,IFRS,balance_sheet,current,Current{period}Instant_ConsolidatedMember_ResultMember,balance_sheet.current.net_assets,int,JPY,
tse-ed-t:NetAssets,JP,balance_sheet,prior_year_end,PriorYearInstant_ConsolidatedMember_ResultMember,balance_sheet.prior_year_end.net_assets,int,JPY,
tse-ed-t:TotalEquityIFRS,IFRS,balance_sheet,prior_year_end,PriorYearInstant_ConsolidatedMember_ResultMember,balance_sheet.prior_year_end.net_assets,int,JPY,
tse-ed-t:OwnersEquity,JP,balance_sheet,current,Current{period}Instant_ConsolidatedMember_ResultMember,balance_sheet.current.owners_equity,int,JPY,
tse-ed-t:EquityAttributableToOwnersOfParentIFRS,IFRS,balance_sheet,current,Current{period}Instant_ConsolidatedMember_ResultMember,balance_sheet.current.owners_equity,int,JPY,
tse-ed-t:OwnersEquity,JP,balance_sheet,prior_year_end,PriorYearInstant_ConsolidatedMember_ResultMember,balance_sheet.prior_year_end.owners_equity,int,JPY,
tse-ed-t:EquityAttributableToOwnersOfParentIFRS,IFRS,balance_sheet,prior_year_end,PriorYearInstant_ConsolidatedMember_ResultMember,balance_sheet.prior_year_end.owners_equity,int,JPY,
tse-ed-t:CapitalAdequacyRatio,JP,balance_sheet,current,Current{period}Instant_ConsolidatedMember_ResultMember,balance_sheet.current.equity_to_assets_ratio,float,Pure,
tse-ed-t:EquityAttributableToOwnersOfParentToTotalAssetsRatioIFRS,IFRS,balance_sheet,current,Current{period}Instant_ConsolidatedMember_ResultMember,balance_sheet.current.equity_to_assets_ratio,float,Pure,
tse-ed-t:CapitalAdequacyRatio,JP,balance_sheet,prior_year_end,PriorYearInstant_ConsolidatedMember_ResultMember,balance_sheet.prior_year_end.equity_to_assets_ratio,float,Pure,
tse-ed-t:EquityAttributableToOwnersOfParentToTotalAssetsRatioIFRS,IFRS,balance_sheet,prior_year_end,PriorYearInstant_ConsolidatedMember_ResultMember,balance_sheet.prior_year_end.equity_to_assets_ratio,float,Pure,
tse-ed-t:DividendPerShare,any,dividend,prior_firstquarter_result,PriorYearDuration_FirstQuarterMember_NonConsolidatedMember_ResultMember,dividend.actual_prior.q1,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,prior_secondquarter_result,PriorYearDuration_SecondQuarterMember_NonConsolidatedMember_ResultMember,dividend.actual_prior.q2,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,prior_thirdquarter_result,PriorYearDuration_ThirdQuarterMember_NonConsolidatedMember_ResultMember,dividend.actual_prior.q3,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,prior_yearend_result,PriorYearDuration_YearEndMember_NonConsolidatedMember_ResultMember,dividend.actual_prior.year_end,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,prior_annual_result,PriorYearDuration_AnnualMember_NonConsolidatedMember_ResultMember,dividend.actual_prior.annual,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,current_firstquarter_result,CurrentYearDuration_FirstQuarterMember_NonConsolidatedMember_ResultMember,dividend.actual_current.q1,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,current_secondquarter_result,CurrentYearDuration_SecondQuarterMember_NonConsolidatedMember_ResultMember,dividend.actual_current.q2,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,current_thirdquarter_result,CurrentYearDuration_ThirdQuarterMember_NonConsolidatedMember_ResultMember,dividend.actual_current.q3,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,current_yearend_result,CurrentYearDuration_YearEndMember_NonConsolidatedMember_ResultMember,dividend.actual_current.year_end,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,current_annual_result,CurrentYearDuration_AnnualMember_NonConsolidatedMember_ResultMember,dividend.actual_current.annual,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,current_yearend_forecast,CurrentYearDuration_YearEndMember_NonConsolidatedMember_ForecastMember,dividend.forecast_current.year_end,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,current_yearend_lower,CurrentYearDuration_YearEndMember_NonConsolidatedMember_LowerMember,dividend.forecast_current.lower.year_end,float,JPYPerShares,レンジ予想時のみ
tse-ed-t:DividendPerShare,any,dividend,current_yearend_upper,CurrentYearDuration_YearEndMember_NonConsolidatedMember_UpperMember,dividend.forecast_current.upper.year_end,float,JPYPerShares,レンジ予想時のみ
tse-ed-t:DividendPerShare,any,dividend,current_annual_forecast,CurrentYearDuration_AnnualMember_NonConsolidatedMember_ForecastMember,dividend.forecast_current.annual,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,current_annual_lower,CurrentYearDuration_AnnualMember_NonConsolidatedMember_LowerMember,dividend.forecast_current.lower.annual,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,current_annual_upper,CurrentYearDuration_AnnualMember_NonConsolidatedMember_UpperMember,dividend.forecast_current.upper.annual,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,next_yearend_forecast,NextYearDuration_YearEndMember_NonConsolidatedMember_ForecastMember,dividend.forecast_next.year_end,float,JPYPerShares,
tse-ed-t:DividendPerShare,any,dividend,next_annual_forecast,NextYearDuration_AnnualMember_NonConsolidatedMember_ForecastMember,dividend.forecast_next.annual,float,JPYPerShares,
tse-ed-t:NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,any,shares,current,Current{period}Instant_NonConsolidatedMember_ResultMember,shares.issued_at_period_end,int,Shares,
tse-ed-t:NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,any,shares,prior_year_end,PriorYearInstant_NonConsolidatedMember_ResultMember,shares.issued_at_prior_year_end,int,Shares,
tse-ed-t:NumberOfTreasuryStockAtTheEndOfFiscalYear,any,shares,current,Current{period}Instant_NonConsolidatedMember_ResultMember,shares.treasury_at_period_end,int,Shares,
